,time,date,v_l,q,n_tr,sum_b,code_azs,id,first_prch,location,region,code,code1,percent,type
0,,2016-12-28,30.46,0,2016,1090.6,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
1,,2016-12-27,0.0,1,2016,180.91,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,2230000,164.0,0.0,6
2,,2016-12-27,35.6,0,2016,1363.48,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010131,128.0,0.0,13
3,08:24:24,2017-10-23,31.01,0,2017,1181.45,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,7
4,,2017-03-19,51.95,0,2017,1818.09,2418.0,21-8B2-7695,27.12.16 23:06:11,9.0,454.0,1010121,126.0,0.0,5
5,19:45:02,2017-08-02,48.64,0,2017,1746.05,2546.0,21-8B2-7695,27.12.16 23:06:11,9.0,453.5,1010121,126.0,0.0,7
6,,2017-05-08,17.43,0,2017,636.1,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
7,,2017-09-07,23.77,0,2017,908.12,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
8,,2017-08-21,35.97,0,2017,1363.36,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
9,,2017-09-02,9.85,0,2017,376.1,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,376.1,2
10,,2017-01-27,15.11,0,2017,545.44,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
11,,2017-01-08,33.01,0,2017,1181.73,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
12,12:38:16,2017-10-02,33.6,0,2017,1354.08,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010131,128.0,0.0,7
13,,2017-07-03,0.0,1,2017,90.0,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,2300000,233.0,0.0,5
14,,2017-07-29,12.05,0,2017,454.45,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
15,16:25:45,2017-12-28,21.45,0,2017,843.16,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,7
16,10:53:32,2017-12-16,54.52,0,2017,2142.56,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
17,,2017-05-22,44.58,0,2017,1636.15,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
18,10:41:25,2017-07-17,38.6,0,2017,1455.22,2546.0,21-8B2-7695,27.12.16 23:06:11,9.0,453.5,1010131,128.0,0.0,7
19,,2017-07-21,20.61,0,2017,772.85,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
20,,2017-07-26,23.85,0,2017,908.85,14281.0,21-8B2-7695,27.12.16 23:06:11,11.0,454.5,1010121,126.0,0.0,5
21,10:41:26,2017-07-17,0.0,1,2017,90.0,2546.0,21-8B2-7695,27.12.16 23:06:11,9.0,453.5,2300000,233.0,0.0,5
22,,2017-09-02,9.52,0,2017,363.59,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
23,,2017-02-14,19.38,0,2017,703.56,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,703.56,2
24,22:38:56,2017-10-16,19.8,0,2017,754.38,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
25,,2017-04-24,24.9,0,2017,908.85,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
26,,2017-07-06,24.24,0,2017,908.86,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
27,,2017-09-01,11.9,0,2017,454.58,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
28,,2017-05-11,11.23,0,2017,409.8,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,409.8,2
29,,2017-03-25,36.29,0,2017,1273.81,2403.0,21-8B2-7695,27.12.16 23:06:11,9.0,454.0,1010121,126.0,0.0,5
30,,2017-07-17,24.24,0,2017,908.86,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
31,,2017-09-11,7.85,0,2017,300.05,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
32,,2017-01-31,23.48,0,2017,908.75,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010131,128.0,0.0,13
33,17:09:52,2017-12-23,34.69,0,2017,1363.35,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
34,,2017-07-03,0.0,1,2017,100.0,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,2240000,150.0,0.0,5
35,16:50:39,2017-03-21,0.0,1,2017,44.55,2546.0,21-8B2-7695,27.12.16 23:06:11,9.0,453.5,2210000,203.0,0.0,5
36,,2017-07-28,23.85,0,2017,908.85,14281.0,21-8B2-7695,27.12.16 23:06:11,11.0,454.5,1010121,126.0,0.0,13
37,,2017-09-08,35.69,0,2017,1363.39,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
38,,2017-07-24,11.15,0,2017,417.95,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,417.95,2
39,20:11:38,2017-10-15,47.72,0,2017,1818.06,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,7
40,18:30:03,2017-10-28,36.36,0,2017,1385.45,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
41,,2017-03-16,50.08,0,2017,1817.97,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
42,,2017-03-10,37.56,0,2017,1363.56,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
43,15:39:21,2017-08-01,37.05,0,2017,1363.61,2418.0,21-8B2-7695,27.12.16 23:06:11,9.0,454.0,1010121,126.0,0.0,13
44,,2017-05-13,19.92,0,2017,727.02,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
45,,2017-03-25,37.27,0,2017,1304.55,2418.0,21-8B2-7695,27.12.16 23:06:11,9.0,454.0,1010121,126.0,0.0,5
46,,2017-05-31,18.43,0,2017,681.81,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
47,,2017-04-06,17.54,0,2017,636.57,11152.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
48,,2017-07-14,48.48,0,2017,1818.07,5915.0,21-8B2-7695,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
49,,2017-03-25,0.0,1,2017,90.0,2403.0,21-8B2-7695,27.12.16 23:06:11,9.0,454.0,2300000,233.0,0.0,5
50,,2017-07-03,54.55,0,2017,2045.45,11152.0,21-8B2-7693,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
51,,2017-07-09,11.4,0,2017,427.5,5915.0,21-8B2-7693,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
52,,2017-07-26,23.85,0,2017,908.85,14281.0,21-8B2-7693,27.12.16 23:06:11,11.0,454.5,1010121,126.0,0.0,5
53,19:39:53,2017-08-02,0.0,1,2017,71.82,2546.0,21-8B2-7693,27.12.16 23:06:11,9.0,453.5,2210000,203.0,0.0,5
54,16:50:38,2017-03-21,0.0,1,2017,68.18,2546.0,21-8B2-7693,27.12.16 23:06:11,9.0,453.5,2300000,233.0,0.0,5
55,,2017-04-09,12.52,0,2017,454.41,11152.0,21-8B2-7693,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
56,16:50:37,2017-03-21,35.95,0,2017,1250.9,2546.0,21-8B2-7693,27.12.16 23:06:11,9.0,453.5,1010121,126.0,0.0,7
57,15:39:22,2017-08-01,0.0,1,2017,71.82,2418.0,21-8B2-7693,27.12.16 23:06:11,9.0,454.0,2210000,203.0,0.0,6
58,,2017-01-14,47.35,0,2017,1818.42,11152.0,21-8B2-7693,27.12.16 23:06:11,10.0,454.5,1010131,128.0,0.0,5
59,,2017-07-15,37.88,0,2017,1363.75,2402.0,21-8B2-7693,27.12.16 23:06:11,9.0,454.0,1010121,126.0,0.0,13
