id,proba
21-186G-1142,0.475
21-186G-1225,0.0
21-186G-1227,0.0
21-186G-1232,0.175
21-186G-1258,0.0
21-186G-1287,0.025
21-186G-1306,0.0
21-186G-1310,0.0
21-186G-1344,0.025
21-186G-1358,0.0
21-186G-136,0.0
21-186G-1368,0.05
21-186G-1455,0.0625
21-186G-1495,0.0
21-186G-15,0.0
21-186G-1512,0.725
21-186G-1524,0.0
21-186G-1547,0.325
21-186G-1548,0.0125
21-186G-1574,0.0375
21-186G-1624,0.0125
21-186G-1735,0.0
21-186G-1743,0.0
21-186G-1764,0.075
21-186G-1792,0.05
21-186G-1807,0.0
21-186G-1815,0.05
21-186G-1834,0.075
21-186G-1863,0.0
21-186G-1877,0.025
21-186G-1881,0.0125
21-186G-1884,0.0
21-186G-1887,0.0
21-186G-189,0.0875
21-186G-1933,0.0875
21-186G-196,0.6875
21-186G-199,0.0
21-186G-2028,0.0
21-186G-2034,0.0
21-186G-2053,0.0
21-186G-2058,0.0
21-186G-2062,0.05
21-186G-2070,0.0
21-186G-2079,0.0
21-186G-2125,0.0
21-186G-2132,0.2375
21-186G-2146,0.0125
21-186G-216,0.0
21-186G-2194,0.0
21-186G-2227,0.0
21-186G-2236,0.2625
21-186G-2237,0.0
21-186G-2328,0.0
21-186G-233,0.0
21-186G-2341,0.0125
21-186G-2345,0.1
21-186G-2369,0.0125
21-186G-2370,0.0
21-186G-2399,0.0125
21-186G-2441,0.05
21-186G-246,0.0
21-186G-2470,0.0
21-186G-2471,0.6375
21-186G-2525,0.0
21-186G-2533,0.0
21-186G-2542,0.0
21-186G-2560,0.025
21-186G-2626,0.0
21-186G-2629,0.0
21-186G-2630,0.0875
21-186G-2631,0.4125
21-186G-2665,0.0
21-186G-2681,0.5625
21-186G-2707,0.1125
21-186G-2720,0.0
21-186G-2726,0.1125
21-186G-2732,0.0
21-186G-2743,0.0
21-186G-2747,0.0
21-186G-2759,0.0
21-186G-2772,0.2625
21-186G-2776,0.0
21-186G-2779,0.025
21-186G-2783,0.0
21-186G-2794,0.0
21-186G-2821,0.0
21-186G-283,0.0
21-186G-2857,0.0
21-186G-2907,0.0
21-186G-2912,0.0
21-186G-2916,0.0
21-186G-2927,0.0625
21-186G-2937,0.0
21-186G-295,0.0
21-186G-296,0.0
21-186G-2966,1.0
21-186G-2968,0.0
21-186G-2994,0.2125
21-186G-2995,0.075
21-186G-3,0.3125
21-186G-3005,0.0125
21-186G-3009,0.0
21-186G-302,0.1625
21-186G-3055,0.0
21-186G-3063,0.0
21-186G-3065,0.0
21-186G-3068,0.0
21-186G-3077,0.0
