time,date,v_l,q,n_tr,sum_b,code_azs,id,first_prch,location,region,code,code1,percent,type,month,year
11:57:41,2016-03-15,30.5,0,2016,1030.9,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,41.24,7,3,2016
17:08:02,2016-03-26,33.3,0,2016,1132.2,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,90.58,7,3,2016
22:08:04,2016-03-30,33.16,0,2016,1127.56,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,90.2,7,3,2016
12:45:53,2016-04-06,33.97,0,2016,1155.07,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,69.31,7,4,2016
22:58:13,2016-04-11,31.48,0,2016,1079.83,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,64.78,13,4,2016
21:58:58,2016-04-21,32.8,0,2016,1125.04,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,67.51,13,4,2016
14:21:58,2016-05-19,26.98,0,2016,930.87,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,27.93,13,5,2016
16:50:31,2016-05-30,33.45,0,2016,1154.18,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,34.63,13,5,2016
11:14:19,2016-06-10,19.67,0,2016,682.65,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,20.48,7,6,2016
22:01:02,2016-06-20,29.52,0,2016,1027.24,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,30.82,13,6,2016
15:12:56,2016-06-30,31.87,0,2016,1109.17,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,33.27,13,6,2016
17:51:43,2016-07-21,0.0,1,2016,59.09,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02300000,233.0,1.77,6,7,2016
17:51:41,2016-07-21,34.16,0,2016,1202.56,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,36.07,13,7,2016
17:51:44,2016-07-21,0.0,1,2016,59.09,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02300000,233.0,1.77,6,7,2016
17:51:42,2016-07-21,0.0,1,2016,59.09,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02300000,233.0,1.77,6,7,2016
11:38:01,2016-07-22,40.33,0,2016,1419.52,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,7,7,2016
18:53:41,2016-07-28,0.0,1,2016,99.09,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02370000,119.0,33.03,6,7,2016
18:53:42,2016-07-28,0.0,1,2016,99.09,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02370000,119.0,33.03,6,7,2016
18:53:39,2016-07-28,21.75,0,2016,765.76,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,22.97,13,7,2016
18:53:40,2016-07-28,0.0,1,2016,99.09,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02370000,119.0,33.03,6,7,2016
19:05:23,2016-08-22,28.82,0,2016,1014.4,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,8,2016
20:59:47,2016-09-01,25.83,0,2016,909.12,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,7,9,2016
09:47:07,2016-09-10,33.03,0,2016,1162.56,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,9,2016
09:47:08,2016-09-10,0.0,1,2016,31.82,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02210000,202.0,0.0,6,9,2016
17:00:30,2016-09-10,12.11,0,2016,426.24,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,9,2016
09:12:52,2016-09-24,27.67,0,2016,974.08,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,974.08,2,9,2016
12:45:55,2016-09-25,14.35,0,2016,505.28,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,505.28,2,9,2016
