,events,fuel,id,staff
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 6, 5, 6, 5, 3, 3, 6, 7, 6, 7, 9, 10, 5, 1, 3, 2, 4, 3, 1, 6, 0, 2, 5, 2, 0, 1, 2, 0, 0, 1, 1, 1, 2, 4, 9, 0, 2, 1, 4, 0, 0, 4, 2, 1, 3, 1, 0, 1, 1, 1, 1, 1, 3, 0, 0, 2, 1, 3, 1, 1, 3, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 23.22, 53.47, 25.67, 25.67, 0.0, 25.67, 30.81, 25.67, 25.67, 25.67, 25.67, 23.61, 25.67, 50.5, 25.53, 11.39, 0.0, 25.53, 11.62, 0.0, 9.27, 0.0, nan, 13.46, 46.04, 0.0, nan, 25.54, 0.0, nan, nan, 40.44, 43.51, 12.07, 13.11, 49.13, 44.32, nan, 49.08, 36.71, 29.53, nan, nan, 33.59, 37.16, 37.16, 36.91, 30.4, nan, 4.57, 46.05, 24.41, 24.41, 36.61, 36.61, nan, nan, 32.94, 48.36, 48.63, 36.6, 36.6, 31.22, nan, nan, nan, nan]",21-8B2-14305,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, nan, 0.0, 0.0, 1.0, nan, 0.0, 1.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan]"
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 6, 1, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 1, 1, 5, 2, 1, 0, 1, 1, 0, 1, 2, 2, 5, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 2, 1, 0, 2, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 30.36, nan, nan, nan, 47.23, 0.0, 25.83, nan, 12.84, nan, nan, nan, nan, nan, 25.6, nan, nan, nan, nan, 0.0, nan, 42.85, 27.27, 0.0, 27.62, 23.05, nan, 25.54, 22.96, nan, 19.73, 24.54, 30.45, 24.21, 24.81, 24.47, 24.47, 24.61, nan, nan, 24.61, nan, 29.05, nan, 24.61, 24.61, nan, 23.95, 24.61, nan, nan, 24.41, 24.41, 29.35, 31.28, 24.41, nan, nan, 21.91, nan, nan, nan, nan, nan, nan]",21-8B2-14346,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, nan, nan, 0.0, 1.0, 0.0, nan, 0.0, nan, nan, nan, nan, nan, 0.0, nan, nan, nan, nan, 1.0, nan, 0.0, 0.0, 1.0, 0.0, 0.0, nan, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, nan, 0.0, nan, 0.0, 0.0, nan, 0.0, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, nan, nan, nan, nan, nan, nan]"
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 1, 3, 4, 0, 2, 2, 3, 0, 1, 6, 0, 2, 2, 4, 4, 1, 1, 5, 1, 2, 1, 4, 1, 3, 0, 6, 0, 0, 12, 17, 4, 3, 1, 6, 2, 4, 7, 1, 3, 1, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 9.36, 0.0, nan, nan, nan, 0.0, 17.95, 0.0, nan, 17.97, 22.34, 0.0, nan, 0.0, 32.35, nan, 17.69, 22.17, 22.09, 0.0, 36.75, 35.66, 0.0, 0.0, 0.0, 32.36, 31.55, 31.26, 37.27, nan, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 31.5, 0.0, 37.95, 0.0, 0.0, 30.0, 37.14, 17.19, nan, nan, nan, nan]",21-8B2-14353,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 1.0, nan, nan, nan, 1.0, 0.0, 1.0, nan, 0.0, 0.0, 1.0, nan, 4.0, 0.0, nan, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, nan, 1.0, nan, nan, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, nan, nan, nan, nan]"
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 3, 0, 2, 7, 1, 3, 0, 4, 6, 2, 3, 0, 2, 0, 3, 2, 0, 2, 3, 2, 1, 4, 2, 1, 0, 4, 0, 4, 4, 1, 2, 2, 4, 1, 2, 1, 1, 0, 2, 5, 2, 0, 0, 1, 9, 4, 2, 3, 1, 7, 0, 6, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 34.99, 0.0, 65.24, nan, 39.91, 37.48, 37.26, 35.45, nan, 0.0, 32.95, 19.61, 30.12, nan, 0.0, nan, 0.0, 29.97, nan, 0.0, 0.0, 0.0, 0.0, 15.81, 12.42, 38.31, nan, 6.29, nan, 0.0, 0.0, 25.29, 25.29, 19.91, 0.0, 45.23, 33.82, 33.11, 43.96, nan, 0.0, 16.0, 25.29, nan, nan, 28.99, 40.02, 20.92, 38.67, 30.01, 0.0, 24.41, nan, 0.0, nan, nan, 56.63, 17.17, nan, 0.0, nan, nan, nan, nan, nan]",21-8B2-14355,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 1.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 1.0, 0.0, 0.0, 0.0, nan, 1.0, nan, 1.0, 0.0, nan, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, nan, 0.0, nan, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, nan, 1.0, 0.0, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, nan, 1.0, nan, nan, 0.0, 0.0, nan, 1.0, nan, nan, nan, nan, nan]"
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 0, 4, 1, 7, 7, 10, 4, 6, 10, 5, 6, 0, 5, 4, 2, 0, 1, 3, 0, 4, 3, 3, 3, 3, 4, 3, 1, 2, 2, 3, 1, 5, 4, 5, 1, 4, 2, 1, 2, 5, 1, 2, 2, 6, 1, 1, 1, 1, 4, 2, 4, 3, 2, 5, 8, 1, 2, 3, 1, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 25.67, 25.67, nan, 0.0, 26.2, 25.25, 26.2, 0.0, 34.16, 40.22, 41.76, 32.79, 0.0, nan, 0.0, 0.0, 0.0, nan, 41.68, 26.01, nan, 0.0, 33.24, 41.55, 48.83, 43.65, 31.82, 24.8, 34.83, 12.84, 30.69, 44.52, 38.79, 0.0, 23.64, 38.17, 25.25, 45.92, 31.98, 34.57, 24.91, 35.62, 24.91, 24.91, 34.55, 0.0, 24.91, 23.83, 24.57, 23.7, 35.38, 28.79, 0.0, 0.0, 42.72, 0.0, 0.0, 24.44, 29.28, 38.57, 39.47, nan, nan, nan, nan]",21-8B2-14362,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, nan, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, nan, 1.0, 1.0, 1.0, nan, 0.0, 0.0, nan, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan]"
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 6, 5, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 3, 2, 2, 3, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 3, 1, 2, 3, 2, 1, 2, 3, 3, 2, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, nan, 23.55, 23.55, nan, nan, 23.55, 11.77, 23.55, 23.55, 40.71, 28.05, 38.41, 23.37, 0.0, 23.37, 36.22, 33.95, 34.06, 29.92, 12.48, 35.09, 36.04, 34.44, 22.96, 24.04, 36.1, 0.0, 36.36, 21.35, 37.69, 41.59, nan, nan, 0.0, 39.58, nan, nan, nan, nan, nan, 43.99, nan, nan, nan, 32.69, 33.51, nan, 33.22, 30.23, 29.18, 30.22, 35.49, 42.15, 29.86, 0.0, 0.0, 37.49, nan, nan, nan, nan]",21-8B2-14560,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, 0.0, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 1.0, 0.0, nan, nan, nan, nan, nan, 0.0, nan, nan, nan, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.0, nan, nan, nan, nan]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 3, 2, 1, 1, 1, 2, 5, 3, 2, 4, 2, 0, 2, 2, 1, 0, 15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, 27.86, 13.15, 0.0, 13.15, 16.49, 13.15, 10.52, 10.52, 15.94, 10.52, 5.13, 7.89, nan, 5.29, 21.15, 23.79, nan, 0.0, nan, 40.3, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 25.86, nan, nan, nan, nan, 39.85, nan, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan]",21-8B2-14637,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, nan, 1.0, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, nan, nan, nan, 0.0, nan, nan, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, 1.0, nan, nan, nan, nan, nan, nan, nan]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 2, 1, 0, 2, 0, 0, 1, 0, 2, 2, 0, 2, 0, 2, 0, 2, 2, 1, 6, 1, 2, 2, 2, 2, 2, 2, 3, 0, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 4, 3, 5, 3, 2, 0, 0, 0, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 32.25, nan, nan, nan, nan, nan, nan, nan, 37.21, 19.31, 35.72, nan, nan, nan, nan, 34.29, nan, nan, nan, nan, 35.34, 14.81, 33.44, 42.54, nan, 23.55, nan, nan, 0.0, nan, 12.87, 25.68, nan, 6.63, nan, 11.47, nan, 0.0, 13.7, 23.62, 11.36, 11.27, 22.73, 11.85, 11.22, 22.34, 11.3, 11.28, 9.0, nan, 43.89, 11.19, 17.82, 7.45, 11.19, 11.19, 36.12, 22.27, 6.71, 4.45, nan, 23.92, 8.86, 22.5, 9.12, 6.79, 2.2, 4.35, 13.37, nan, nan, nan, 40.95]",21-8B2-14852,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, nan, nan, nan, nan, 0.0, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, 1.0, nan, 0.0, 0.0, nan, 0.0, nan, 0.0, nan, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, 0.0]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 8, 8, 4, 6, 3, 4, 4, 8, 3, 5, 4, 5, 4, 3, 10, 1, 6, 2, 3, 4, 7, 3, 8, 12, 12, 7, 5, 8, 6, 12, 3, 3, 5, 3, 7, 7, 2, 2, 1, 5, 0, 9, 1, 5, 11, 6, 6, 6, 6, 5, 2, 7, 6, 14, 5, 3, 4, 5, 7, 7, 14, 7, 5, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 36.36, 0.0, 0.0, 0.0, 22.73, 27.27, 22.73, 68.18, 27.27, 27.27, 22.73, 36.36, 0.0, 22.73, 36.36, 22.27, 0.0, 27.27, 31.82, 45.45, 68.47, 36.36, 18.18, 36.36, 45.92, 0.0, 0.0, 50.0, 0.0, 39.18, 0.06, 0.0, 60.53, 0.0, 31.82, 31.82, 22.78, 40.91, 36.36, 27.27, 36.36, 0.0, nan, 40.91, 36.36, 0.0, 0.0, 0.0, 36.36, 0.0, 45.35, 27.27, 47.6, 23.25, 18.18, 0.0, 23.25, 36.36, 40.91, 59.09, 10.75, 40.91, 0.0, 0.0, 31.82, nan, nan, nan, nan]",21-8B2-14879,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, nan, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, nan, nan, nan, nan]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 0, 3, 1, 2, 4, 0, 3, 1, 1, 0, 1, 3, 1, 0, 2, 1, 1, 4, 0, 3, 3, 1, 4, 3, 2, 1, 4, 2, 0, 0, 0, 3, 0, 0, 0, 13, 1, 0, 1, 0, 0, 0, 0, 3, 0, 1, 4, 5, 2, 0, 0, 0, 13, 4, 5, 6, 9, 2, 7, 5, 6, 21, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 25.77, 0.0, 0.0, nan, 0.0, 35.23, 0.0, 17.87, nan, 0.0, 35.33, 35.33, nan, 12.38, 37.15, 38.3, nan, 49.0, 24.5, 25.25, 23.43, nan, 37.35, 37.35, 37.35, 0.0, 37.05, 0.0, 35.6, 24.44, 0.0, nan, nan, nan, 0.0, nan, nan, nan, 0.0, 0.0, nan, 0.0, nan, nan, nan, nan, 0.0, nan, 23.19, 23.67, 0.0, 0.0, nan, nan, nan, 13.64, 32.07, 0.0, 13.24, 33.09, 33.01, 22.01, 0.0, 32.15, 0.0, nan, nan, nan, nan, nan]",21-8B2-1489,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 1.0, 2.0, nan, 1.0, 0.0, 10.0, 0.0, nan, 10.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3.0, nan, nan, nan, 1.0, nan, nan, nan, 1.0, 2.0, nan, 1.0, nan, nan, nan, nan, 1.0, nan, 0.0, 0.0, 2.0, 1.0, nan, nan, nan, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, nan, nan, nan, nan, nan]"
